Portfolio,Department/Agency,Outcome,Program,Expense type,Appropriation type,Description,2015-16,2016-17,2017-18,2018-19,2019-20,Source document,Source table
Health Portfolio,Department of Health,Outcome 4,Program 4.2: Hearing Services,Administered expenses,Ordinary annual services,,498892,555768,564370,575200,584651,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 4,Program 4.2: Hearing Services,Departmental expenses,Departmental appropriation,,10078,8547,8544,8585,8589,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 4,Program 4.2: Hearing Services,Departmental expenses,Expenses not requiring appropriation in the budget year,,229,167,168,179,152,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 4,Program 4.3: Pharmaceutical Benefits,Administered expenses,Ordinary annual services,,672875,690449,698302,691528,700170,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 4,Program 4.3: Pharmaceutical Benefits,Administered expenses,Special appropriations,National Health Act 1953  - pharmaceutical benefits,9735781,10109505,10290243,10630109,11021927,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 4,Program 4.3: Pharmaceutical Benefits,Departmental expenses,Departmental appropriation,,64220,57303,56086,48274,44240,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 4,Program 4.3: Pharmaceutical Benefits,Departmental expenses,Expenses not requiring appropriation in the budget year,,2676,2896,2919,3111,2630,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 4,Program 4.4: Private Health Insurance,Administered expenses,Ordinary annual services,,2328,3768,3114,2561,2461,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 4,Program 4.4: Private Health Insurance,Administered expenses,Special appropriations,Private Health Insurance Act 2007 - incentive payments and rebate,5953427,6249233,6492696,6812673,6812746,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 4,Program 4.4: Private Health Insurance,Departmental expenses,Departmental appropriation,,9069,7767,7764,7796,7799,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 4,Program 4.4: Private Health Insurance,Departmental expenses,Expenses not requiring appropriation in the budget year,,181,132,133,142,120,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 4,Program 4.5: Medical Indemnity,Administered expenses,Ordinary annual services,,150,150,142,142,142,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 4,Program 4.5: Medical Indemnity,Administered expenses,Special appropriations,Medical Indemnity Act 2002 ,88700,93400,98600,104200,110100,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 4,Program 4.5: Medical Indemnity,Administered expenses,Special appropriations,Midwife Professional Indemnity (Commonwealth Contribution) Scheme Act 2010,3904,2949,4073,4719,5462,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 4,Program 4.5: Medical Indemnity,Departmental expenses,Departmental appropriation,,1813,1528,1528,1536,1536,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 4,Program 4.5: Medical Indemnity,Departmental expenses,Expenses not requiring appropriation in the budget year,,44,32,32,34,29,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 4,Program 4.6: Dental Services,Administered expenses,Ordinary annual services,,0,0,0,0,0,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 4,Program 4.6: Dental Services,Administered expenses,Special appropriations,Dental Benefits Act 2008,313741,415616,415632,420224,437512,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 4,Program 4.6: Dental Services,Departmental expenses,Departmental appropriation,,1757,1502,1500,2248,2249,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 4,Program 4.6: Dental Services,Departmental expenses,Expenses not requiring appropriation in the budget year,,44,36,36,39,33,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 4,Program 4.7: Health Benefit Compliance,Administered expenses,Ordinary annual services,,0,12000,12000,12000,12000,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 4,Program 4.7: Health Benefit Compliance,Departmental expenses,Departmental appropriation,,48984,65902,65945,65721,65754,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 4,Program 4.7: Health Benefit Compliance,Departmental expenses,Expenses not requiring appropriation in the budget year,,1358,1475,1486,1584,1340,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 4,Program 4.8: Targeted Assistance - Aids and Appliance,Administered expenses,Ordinary annual services,,593,592,566,566,566,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 4,Program 4.8: Targeted Assistance - Aids and Appliance,Administered expenses,Special appropriations,National Health Act 1953  - aids and appliances,336427,292219,304265,315260,324111,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 4,Program 4.8: Targeted Assistance - Aids and Appliance,Departmental expenses,Departmental appropriation,,3162,2784,2783,2799,2800,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 4,Program 4.8: Targeted Assistance - Aids and Appliance,Departmental expenses,Expenses not requiring appropriation in the budget year,,77,63,63,68,57,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 5,Program 5.1: Protect the Health and Safety of the Community through Regulation,Administered expenses,Ordinary annual services,,0,0,0,0,0,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 5,Program 5.1: Protect the Health and Safety of the Community through Regulation,Departmental expenses,Departmental appropriation,,11612,11328,9354,9398,9465,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 5,Program 5.1: Protect the Health and Safety of the Community through Regulation,Departmental expenses,Departmental appropriation,to Special Accounts,-11612,-11328,-9354,-9398,-9465,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 5,Program 5.1: Protect the Health and Safety of the Community through Regulation,Departmental expenses,Expenses not requiring appropriation in the budget year,,0,0,0,0,0,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 5,Program 5.1: Protect the Health and Safety of the Community through Regulation,Departmental expenses,Special Accounts,OGTR Special Accounts,7882,7996,7849,7898,7954,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 5,Program 5.1: Protect the Health and Safety of the Community through Regulation,Departmental expenses,Special Accounts,NICNAS Special Accounts,18532,19676,15337,14456,14356,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 5,Program 5.1: Protect the Health and Safety of the Community through Regulation,Departmental expenses,Special Accounts,TGA Special Accounts,138876,155119,149598,146529,147184,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 5,Program 5.1: Protect the Health and Safety of the Community through Regulation,Departmental expenses,Special Accounts,Expense adjustment,-5215,-9258,-528,6251,5836,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 5,Program 5.2: Health Protection and Emergency Response,Administered expenses,Ordinary annual services,,79951,86016,80131,42363,42410,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 5,Program 5.2: Health Protection and Emergency Response,Administered expenses,Non cash expenses,,105379,17577,28276,20796,20796,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 5,Program 5.2: Health Protection and Emergency Response,Administered expenses,Special Accounts,Human Pituitary Hormones  Special Account - s78  PGPA Act,160,160,170,170,170,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 5,Program 5.2: Health Protection and Emergency Response,Departmental expenses,Departmental appropriation,,22110,19827,19818,19936,19947,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 5,Program 5.2: Health Protection and Emergency Response,Departmental expenses,Expenses not requiring appropriation in the budget year,,694,615,620,660,559,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 5,Program 5.3: Immunisation,Administered expenses,Ordinary annual services,,53696,96185,33086,24693,24720,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 5,Program 5.3: Immunisation,Administered expenses,Ordinary annual services,to Australian Childhood Immunisation Special Account,-5858,-5913,-5966,-5966,-5966,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 5,Program 5.3: Immunisation,Administered expenses,Special Accounts,Australian Childhood Immunisation  Register Special Account  - s78 PGPA Act,9563,9650,9820,9820,9820,Department of Health 2016-17 PBS,Table 2.1.2
Health Portfolio,Department of Health,Outcome 5,Program 5.3: Immunisation,Administered expenses,Special Accounts,National Health Act 1943  - essential vaccines,240150,279548,279823,279821,279748,Department of Health 2016-17 PBS,Table 2.1.2
